numnodes,description,id,totaltime,prediction,average 
24,fdd_0,jjlong33kzw,1344522,771153,835681.6667
24,fdd_0,jjlong0602c,545215,771153,
24,fdd_0,jjlong3ndkn,1924623,771153,
24,fdd_0,jjlongjektg,153157,771153,
24,fdd_0,jjlongp0c84,362010,771153,
24,fdd_0,jjlongrcqgv,300148,771153,
24,fdd_0,jjlongahpko,602393,771153,
24,fdd_0,jjlongwvgfr,227362,771153,
24,fdd_0,jjlongxw2t2,361855,771153,
24,fdd_0,jjlong1hff8,493877,771153,
24,fdd_0,jjlongmlxzt,2075023,771153,
24,fdd_0,jjlongmuqey,1304235,771153,
24,fdd_0,jjlongydj8y,1988971,771153,
24,fdd_0,jjlongz3tys,596650,771153,
24,fdd_0,jjlonglrkx4,255184,771153,
24,dfdd2,jjlongtds6h,335308,527453,461006.7333
24,dfdd2,jjlongox4s2,282574,527453,
24,dfdd2,jjlongr91ls,714727,527453,
24,dfdd2,jjlongmn4kx,396521,527453,
24,dfdd2,jjlongqjj6k,454027,527453,
24,dfdd2,jjlongrq7c4,384473,527453,
24,dfdd2,jjlongh2oqc,288107,527453,
24,dfdd2,jjlong1hhch,218353,527453,
24,dfdd2,jjlongatuvl,304806,527453,
24,dfdd2,jjlong53se9,844029,527453,
24,dfdd2,jjlong67gw4,366017,527453,
24,dfdd2,jjlong5slxe,262266,527453,
24,dfdd2,jjlongfvsi1,886973,527453,
24,dfdd2,jjlongdl1y1,495490,527453,
24,dfdd2,jjlong8cus3,681430,527453,
16,dfdd2,jjlongr5ou7,250046,262350,226778.5333
16,dfdd2,jjlongirjls,176733,262350,
16,dfdd2,jjlonghbcmn,410245,262350,
16,dfdd2,jjlongkmb7n,209412,262350,
16,dfdd2,jjlonga346n,155217,262350,
16,dfdd2,jjlongjeii3,163303,262350,
16,dfdd2,jjlongf6mrf,159919,262350,
16,dfdd2,jjlong6esni,101597,262350,
16,dfdd2,jjlongk3b8c,123870,262350,
16,dfdd2,jjlongojenp,203003,262350,
16,dfdd2,jjlong06hh8,334532,262350,
16,dfdd2,jjlongkhgtw,221959,262350,
16,dfdd2,jjlong949rv,351535,262350,
16,dfdd2,jjlongqfmeh,294684,262350,
16,dfdd2,jjlonghguvk,245623,262350,
16,fdd_0,jjlongruv46,149273,337719,406632.6429
16,fdd_0,jjlong63a2p,788211,337719,
16,fdd_0,jjlongwte3t,324284,337719,
16,fdd_0,jjlonghyae5,147085,337719,
16,fdd_0,jjlong525yj,705434,337719,
16,fdd_0,jjlong2bbjx,202176,337719,
16,fdd_0,jjlongjleix,374058,337719,
16,fdd_0,jjlong4v2mz,509310,337719,
16,fdd_0,jjlong0sjky,403369,337719,
16,fdd_0,jjlong8q06b,722018,337719,
16,fdd_0,jjlongi6mr1,291326,337719,
16,fdd_0,jjlongs9pg4,394422,337719,
16,fdd_0,jjlonggn5yk,440488,337719,
16,fdd_0,jjlongft5v2,241403,337719,
8,fdd_0,jjlongwumn0,56347,104174,93101.35714
8,fdd_0,jjlongcjc8r,108972,104174,
8,fdd_0,jjlongb9ma0,71969,104174,
8,fdd_0,jjlongk8943,114669,104174,
8,fdd_0,jjlong0id7m,94757,104174,
8,fdd_0,jjlongt0qjv,108080,104174,
8,fdd_0,jjlongs7wjg,208221,104174,
8,fdd_0,jjlongpw3bf,116489,104174,
8,fdd_0,jjlong56vyu,40869,104174,
8,fdd_0,jjlonggp6d0,87506,104174,
8,fdd_0,jjlongl3ea0,80130,104174,
8,fdd_0,jjlong72524,118920,104174,
8,fdd_0,jjlongh0kwd,53852,104174,
8,fdd_0,jjlongea82b,42638,104174,
8,dfdd2,jjlongvlppi,58696,84561,65559.21429
8,dfdd2,jjlongkuhte,54193,84561,
8,dfdd2,jjlongdxfrc,61167,84561,
8,dfdd2,jjlong84beg,91036,84561,
8,dfdd2,jjlongv0o8a,60485,84561,
8,dfdd2,jjlongyoeez,54936,84561,
8,dfdd2,jjlongvjdzx,58050,84561,
8,dfdd2,jjlongwfi2f,68767,84561,
8,dfdd2,jjlongduxxv,65069,84561,
8,dfdd2,jjlong0qnyj,47711,84561,
8,dfdd2,jjlong3fy4u,55073,84561,
8,dfdd2,jjlongovowe,85751,84561,
8,dfdd2,jjlong4sk92,70610,84561,
8,dfdd2,jjlongxor0v,86285,84561,
8,dfdd2,jjlongb54yc,60344,84561,